id,rubrika,naslov,filip,danilo,usaglaseno,obrazlozenje
sportklub_160e7fe370,Moto GP,Četvorica u 61 hiljaditinki – Gevara tik ispred Salača do pola,1,0,,
sportklub_d641e92f18,NBA,"Oklahoma „pometlala“ Lejkerse, Lebron i ekipa mogu na odmor",1,0,,
sportklub_d95b8563d2,NBA,(VIDEO) Vembanjama uništio Minesotu,1,0,,
sportklub_4323e1836e,NBA,Jovanin Finiks konačno dobio,0,1,,
sportklub_fd2b129e01,NBA,Njujork ponovo živi za košarku,1,0,,
sportklub_3dce2956d1,Odbojka,"Liga nacija: Ukrajina za istoriju, Holandija pregazila Tursku",1,0,,
sportklub_6d1735a637,Ostale lige - Fudbal,(VIDEO) Drama u penal seriji: CSKA osvojio Kup Bugarske,1,0,,
sportklub_9b0158caa6,Ostale lige - Fudbal,Čuveni Španac dobio otkaz u Panatinaikosu,0,1,,
sportklub_52f99fe39d,Ostale lige košarka,(VIDEO) Čanak proključao i izvređao sudije!,1,0,,
sportklub_9c291b5660,Ostale lige košarka,Nekadašnji trener Zvezde našao posao u Nemačkoj,0,1,,
sportklub_763feadbec,Ostale lige košarka,"(VIDEO) Vezenkov pogodio sa pola terena, Milutinov van tima",1,0,,
sportklub_7e71114f92,Ostale lige košarka,Armani najavio pohod za titulu – stotkom!,1,0,,
sportklub_81c7b7fc57,Premier League,Novi udarac za Vest Hem… Čekaju ponedeljak i navijaju za Čelsi,0,1,,
sportklub_08126802ad,Premier League,"Mančester junajted se zahvalio Kazemiru, ali i obradovao navijače",0,1,,
sportklub_7d5c676e14,Premier League,„Iraola bi mogao da ubedi Nika Vilijamsa da dođe u Liverpul“,1,0,,
sportklub_b1c4679534,Premier League,Pogledajte kako su igrači Arsenala dočekali trenutak krunisanja,1,0,,
sportklub_f09123c8f1,Premier League,Hal razmatra svoje opcije za direktan plasman u Premijer ligu,0,1,,
sportklub_2efc4bb2c5,Primera,Predizborno obećanje: Jirgen Klop na klupi Reala!,1,0,,
sportklub_f5e8f04088,Reprezentacija,Traju muke fudbalera: Kazahstan bolji od Srbije,1,0,,
sportklub_53752b90d1,Reprezentacija,Tadić: Piksi je hteo da okrene svlačionicu protiv mene,1,0,,
sportklub_d11da25016,Reprezentacija,"Gojko: Ako postoji neopravdani bojkot, zahvalio bih se igračima",1,0,,
sportklub_25e7e1e379,Roland Garros,Još dva koraka za Zvereva,0,1,,
sportklub_b5363ee0ff,Roland Garros,Čekamo Vimbldon: Pokazaće Đoković da nije za penziju,1,0,,
sportklub_0263639981,Roland Garros,"Iva furija pričala o egu: Šta, napali su mene, šta pričate?",1,0,,
sportklub_2c25608d08,Roland Garros,Ovaj Garos je lud: Igrali su ljudi šest sati!,1,0,,
sportklub_822afe7b40,Roland Garros,Muratoglu: Potvrđena ahilova peta Janika Sinera,0,1,,
sportklub_d4623f17db,Roland Garros,Andrejeva: Ne slušam šta Ukrajinke pričaju o nama,1,0,,
sportklub_5cc0d6788e,Roland Garros,Janik Siner šokantno ispao sa Rolan Garosa! Pozlilo mu je…,1,0,,
sportklub_c8aa52dc09,Roland Garros,"Nole, Hamad i pogled 1.453 kilometra od stadiona Filip Šatrije",0,1,,
sportklub_c47ce7dae2,SP u fudbalu,Sedmica za istoriju: Nemačka na vrhu preskočila Brazil,1,0,,
sportklub_4b569685c2,SP u fudbalu,SP 2026: Počinje istorijsko Svetsko prvenstvo u fudbalu!,1,0,,
sportklub_b7b6fd7cef,SP u fudbalu,"Prijateljske: Šestica Brazila, Undav Nagelsmanov kec iz rukava",1,0,,
sportklub_2d21035f92,SP u fudbalu,"Krunić: Da sam dobio poziv Srbije, nikada ne bih igrao za BiH",1,0,,
sportklub_35e81b9d6f,SP u fudbalu,"El Pais: Pogubljena Srbija, sama sebi dala dva gola",1,0,,
sportklub_ed56704563,SP u fudbalu,Anketa DPA: Nemcima nije do fudbala sa SP posle ponoći,0,1,,
sportklub_f4a2d89dde,SP u fudbalu,Mesi u trci sa vremenom: Neće biti potpuno spreman,1,0,,
sportklub_b83fd9620a,SP u fudbalu,Šou je počeo! Dva gola i tri direktna crvena na startu Mundijala,1,0,,
sportklub_a9f1a639b1,SP u fudbalu,"Prvi gol na Mundijalima, i to protiv Nemaca: Kurasao čini čuda!",1,0,,
sportklub_bc40e91398,SP u fudbalu,(FOTO) Ovako izgleda kostur najvećeg Mundijala ikada,1,0,,
sportklub_1ff0a88fc9,Serie A,Bode je zaboravljen: Kristijan Kivu dobija novi ugovor,1,0,,
sportklub_1767c25911,Superliga Srbije,Šta će reći kum: Terzić detaljno o rekonstrukciji Marakane,1,0,,
sportklub_96a17d3c4d,Superliga Srbije,"„Ode Božo, legenda Borca i Čačka, ostaju priče za sva vremena“",1,0,,
sportklub_565ca7d01f,Superliga Srbije,Tanasković odgovorio Terziću: Takve reči ne donose dobro sportu,1,0,,
sportklub_340b9312e3,Superliga Srbije,Nije „mitsko biće“: Mesina stiže na finale u Loznicu,1,0,,
sportklub_c75ed6c1a8,Superliga Srbije,"Rasim pred Skupštinu: Muka mi je od izgovora, neću da tražim pare",1,0,,
sportklub_1957fdcb03,Superliga Srbije,"Zvezda dogovorila još jednog ofanzivca, plaća 3.000.000 €",0,1,,
sportklub_5f72b07ec5,Vaterpolo,"Marsej slavi Miloša Šćepanovića, ništa od fešte u Splitu!",1,0,,
sportklub_9dcb40c67f,Vaterpolo,Šćepanović za SK: Za ovakve utakmice se živi!,1,0,,
sportklub_e56d5c13ec,Vodeni sportovi,Dva finala za Srbiju posle kvalifikacija u Montemoru,1,0,,
sportklub_c39fdaf92d,WTA,Petković: Serena se nije vratila da bi igrala samo dubl,1,0,,
sportklub_d45a7e38ce,fudbalske vesti,Odbio medalju: Ronaldo otišao u tunel posle poraza,1,0,,
sportklub_f368466b5f,fudbalske vesti,"VIDEO: Lakrdija u Nišu, „sklanjalica“ do rezultata 19:0!",1,0,,
sportklub_ef0520b36c,fudbalske vesti,"(VIDEO) Prekid i drama u Mostaru, Zrinjski osvojio Kup BIH!",1,0,,
sportklub_fdebb02e57,košarkaške vesti,Euro NIL: Kako Srbija može da iskoristi benefite NCAA košarke?,1,0,,
