id,naslov,filip,danilo,slaganje
sportklub_c6500ac92d,Hezonja u crveno-belom? Grci otkrili istinu o šokantnom transferu,1,0,NE
sportklub_596e8b1665,"Iskra blistala u Zagrebu, napreduje iz dana u dan…",1,1,DA
sportklub_c260387242,Trejd godine: Rekorder NFL je novo „lice“ odbrane Remsa,1,1,DA
sportklub_d983103b32,"Dalićev širi spisak za SP; Beljo, Stojković i Majer na pretpozivu",0,0,DA
sportklub_da58e3382c,Raspored Super lige: Zvezda čeka Partizan 5. septembra,0,0,DA
sportklub_d26398ec77,"Ozmo bodri Aleks i Danilinu: Veliki uspeh, titula će sigurno doći",0,0,DA
sportklub_a5a3f62e8f,Junajted potvrdio: Kerik na klupi do 2028. godine,0,0,DA
sportklub_3161c4d9f2,"Partizanu se ne ide u Dubai, poznati termini ABA finala",0,0,DA
sportklub_5f72b07ec5,"Marsej slavi Miloša Šćepanovića, ništa od fešte u Splitu!",0,0,DA
sportklub_25e7e1e379,Još dva koraka za Zvereva,1,1,DA
sportklub_05dce51158,"Seniorke naredne sedmice u Đenovi, u pogonu 23 igračice",0,0,DA
sportklub_abd1278c84,"(VIDEO) Kurasao vodio na Hempdenu, ali na kraju loše prošao",1,1,DA
sportklub_196ff285a4,"Navijači tvrde da je Hodar gurnuo devojčicu, on oštro demantuje",0,0,DA
sportklub_7e4576bba6,Otkrivena plata Saše Obradovića: „Ponuda koja se ne odbija“,1,1,DA
sportklub_1767c25911,Šta će reći kum: Terzić detaljno o rekonstrukciji Marakane,0,0,DA
sportklub_81c7b7fc57,Novi udarac za Vest Hem… Čekaju ponedeljak i navijaju za Čelsi,1,1,DA
sportklub_65fe4248cc,Ferari poslao jaku poruku u Monte Karlu,1,1,DA
sportklub_5f72177145,Bajern doveo prvo veliko pojačanje,1,1,DA
sportklub_f5e8f04088,Traju muke fudbalera: Kazahstan bolji od Srbije,0,0,DA
sportklub_975e35ca46,Adriana Vilagoš treća u Oslu,0,0,DA
sportklub_f15cdc7215,"Fudbaler Arsenala se nije oporavio, ne ide na Svetsko prvenstvo",1,1,DA
sportklub_c47ce7dae2,Sedmica za istoriju: Nemačka na vrhu preskočila Brazil,0,0,DA
sportklub_52f99fe39d,(VIDEO) Čanak proključao i izvređao sudije!,0,0,DA
sportklub_07e30c4679,„Radar“: 182.000.000€ za dva plej-in poraza i dve plej-of pobede!,0,0,DA
sportklub_4b569685c2,SP 2026: Počinje istorijsko Svetsko prvenstvo u fudbalu!,0,0,DA
sportklub_e89b7d82fc,Kinjones: Srećan sam i uzbuđen zbog svog prvog gola na SP,0,0,DA
sportklub_b7b6fd7cef,"Prijateljske: Šestica Brazila, Undav Nagelsmanov kec iz rukava",0,0,DA
sportklub_b72c1afebb,Ponos radničkog Valjekasa u Lajpcigu piše istoriju,0,0,DA
sportklub_702f9a994e,Oklahoma Siti bez bitnog aduta za sedmu utakmicu,1,1,DA
sportklub_34ffbbaf56,Petrušev: Bolje da ne pričam…,1,1,DA
sportklub_3029f9e11c,Više nije tajna: Olimpijakos sa Kodijem brani evropski tron,0,0,DA
sportklub_edd882cbb2,(VIDEO) Drama za kraj: Dva penala i crveni karton za Holandiju,1,1,DA
sportklub_91a14b1d8a,Radovan Ćurčić na klupi superligaša,0,0,DA
sportklub_2bc150826d,Olimpijakos je prvak Evrope! Kletva razbijena na omraženom mestu,0,0,DA
sportklub_21b0fc6f28,Krunić i Danilina u polufinalu Rolan Garosa,0,0,DA
sportklub_2ad9e15186,Od trojice – ostao jedan: Kraj i za Međedovića na Rolan Garosu,1,1,DA
sportklub_408ced6fdc,Rade piše: Letnji trening od „drila“ do „mini-bojlera“,1,1,DA
sportklub_d45a7e38ce,Odbio medalju: Ronaldo otišao u tunel posle poraza,0,0,DA
sportklub_4af5c12a39,Zašto Partizan nije hteo heroja BiH? Znate kako to kod nas ide…,1,1,DA
sportklub_f31c64a2f2,"ABA i Dubai održali hitan sastanak, odluka je promenjena!",1,1,DA
sportklub_ded62e34a4,"(VIDEO) Navijači Zvezde se raspevali: Prvo Vućić, pa uprava!",0,0,DA
sportklub_91203f42ab,Karlik Džons i metla: „Pecnuo“ Zvezdu na instagramu,1,1,DA
sportklub_676997503a,„Nemate nijednog Grka…“ Ataman navijačima Olimpijakosa,1,1,DA
sportklub_512deddef9,Sjajna nedelja za srpski tenis: I Kecmanović osvojio trofej!,0,0,DA
sportklub_32baa87abd,"Janis je u izlogu, Baksi su spremni za trejd",0,0,DA
sportklub_f368466b5f,"VIDEO: Lakrdija u Nišu, „sklanjalica“ do rezultata 19:0!",0,0,DA
sportklub_762bfd553f,"Poslednje kolo PL: Ko će u koje UEFA takmičenje, a ko ispada?",0,0,DA
sportklub_6776b11fa0,Zvezdina suspenzija i još ponešto: Laž ovde i dalje prolazi!,1,1,DA
sportklub_3151a14c66,Šeici planiraju veliki projekat: Dubai želi u Novi Sad!,0,0,DA
sportklub_bd83ca5174,Kraljevski: Princ Vilijam uz pivo proslavio sa igračima Vile,0,0,DA
sportklub_f1323dc027,"Transfermarkt: Vrednost tima Zvezde 117,6 miliona evra",0,0,DA
sportklub_2f05f9deaa,"Serena (44) o povratku: Bilo mi je dosadno, a deca na raspustu…",1,1,DA
sportklub_2ad3add409,Obradović govorio veoma kratko posle poraza u Ljubljani,0,1,NE
sportklub_2090d1c72e,Italijani otkrili otkud nagli preokret Saše Đorđevića za Tursku,1,1,DA
sportklub_cf3c2068e9,Ovo je 10 igrača u Premijer ligi kojima je najviše pala cena,1,1,DA
sportklub_6baba01cff,"20 minuta, ne smete ništa: S Novakom na treningu, kao…",1,1,DA
sportklub_d641e92f18,"Oklahoma „pometlala“ Lejkerse, Lebron i ekipa mogu na odmor",0,0,DA
sportklub_b5363ee0ff,Čekamo Vimbldon: Pokazaće Đoković da nije za penziju,0,0,DA
sportklub_5cf122e485,Promene u FSS: Crveno svetlo sudijama starijim od 46 godina,0,0,DA
sportklub_9c291b5660,Nekadašnji trener Zvezde našao posao u Nemačkoj,1,1,DA
sportklub_9d95621c9e,"Vinisijus: Ovde smo da postanemo šampioni, Karlo unosi mir",0,0,DA
sportklub_8e158eae78,Ishod pregleda: Zarko će morati da čeka na operaciju kolena,0,0,DA
sportklub_be66a2f6fb,"Siner: Nije bilo toliko toplo, nikad se ovako slabo nisam osećao",0,0,DA
sportklub_13b75c650e,Čudesan preokret: Valensija slomila Bilbao!,0,0,DA
sportklub_0ffacc341e,(VIDEO) Ovo se čekalo: Oglasio se Janakopulos! Priča sa mačkom…,1,1,DA
sportklub_2e02944afd,Deni Avdija sprečen igra za Izrael? Rat iziskuje posebnu dozvolu,0,0,DA
sportklub_fe8401f011,Aleksandra Krunić i Ana Danilina opet u finalu RG!,0,0,DA
sportklub_bfb8c147d0,Terzićevih 30 za Ligu nacija: Na spisku i Maja i Tijana,0,0,DA
sportklub_0e72ec3fd5,Uraganski preokret ostavio Karolinu u životu,0,0,DA
sportklub_57925cc88c,Branko Lazić otkrio: Čuo sam da me je Dule baš želeo u Partizanu,0,0,DA
sportklub_eb345b40a6,"„One“: Menadžer tužio Vasu Micića, traži malo bogatstvo",1,1,DA
sportklub_be807cd355,Problem više za večite: Dubai se vraća u Koka-kola arenu,0,0,DA
sportklub_08126802ad,"Mančester junajted se zahvalio Kazemiru, ali i obradovao navijače",1,1,DA
sportklub_7d5c676e14,„Iraola bi mogao da ubedi Nika Vilijamsa da dođe u Liverpul“,0,0,DA
sportklub_3add3a5720,(VIDEO) Samo napadni Džejmsa Hardena i miran si: To nije tajna,1,1,DA
sportklub_9ea387d940,"Golden najtsi u finalu Zapada, Montreal na korak od finala Istoka",0,0,DA
sportklub_0263639981,"Iva furija pričala o egu: Šta, napali su mene, šta pričate?",0,0,DA
sportklub_ccb2cbe97a,"Cvjetićanin pred revanš: Umalo nisam dobio srčani udar, a sada…",1,1,DA
sportklub_c9509791c2,Kome je Tajrik posvetio pehar? „Znamo šta se dogodilo ove sezone“,1,1,DA
sportklub_7f00bb1414,(VIDEO) Zvuči blesavo ali – rođendan na RG dobar adut za Novaka?,1,1,DA
sportklub_2c25608d08,Ovaj Garos je lud: Igrali su ljudi šest sati!,0,0,DA
sportklub_9433ae2261,Trenutna inspiracija i ostavka Gorana Jezdića,0,0,DA
sportklub_d65ee1a349,Kvarachelija najbolji igrač Lige šampiona!,0,0,DA
sportklub_de62390f8a,FIFA suspendovala Nišlije zbog Bugarina,0,0,DA
sportklub_2f86e8b47e,Pamte li navijači pretnju bojkotom? Žalgiris „blindirao“ Tubelisa,0,0,DA
sportklub_c9afadf09f,Kodi analizira zašto je sve pošlo po zlu ove sezone,1,1,DA
sportklub_2d21035f92,"Krunić: Da sam dobio poziv Srbije, nikada ne bih igrao za BiH",0,0,DA
sportklub_c0c437d10a,"SK u svlačionici Reala: Ljulj zna put, a šta očekuje Maledon?",1,0,NE
sportklub_49d816eef0,"Vreme krunisanja: Spektakularni ili „dosadni“, pitanje je sad!",1,1,DA
sportklub_6842238315,"Nikad se nije desilo u istoriji tenisa, hoće li sad na Garosu?",1,1,DA
sportklub_3726645511,"Nedović zapažen u pobedi, Džejms nastavlja bojkot Monaka",0,0,DA
sportklub_6a19d78ed8,Španija bez Jamala na otvaranju Svetskog prvenstva,0,0,DA
sportklub_09c6bc5090,"(FOTO) Posle deset godina, Ana Ivanović na Rolan Garosu!",0,0,DA
sportklub_2029fe8ff9,Trenutak da Milan Tomić pokaže može li da promeni Crvenu zvezdu,1,1,DA
sportklub_cbab3e5d75,Mikulić doneo drugu medalju Crnoj Gori u Frankfurtu,0,0,DA
sportklub_997bb4975c,Oglasio se Eriksen: Ovo je drugačije nego pre pet godina,1,1,DA
sportklub_d2acffecc1,Senzacija u Hamburgu: Novo ime odzvanja svetom tenisa!,1,1,DA
sportklub_68c69e6978,Arteta o tituli: Jedan od najlepših osećaja ikada,0,0,DA
sportklub_05ee891126,Novi krah Danila Medvedeva,1,1,DA
sportklub_1d78aed525,"Kompletan idiot, stalno se žali, moron.. Dnevnik jednog selektora",1,1,DA
sportklub_35e81b9d6f,"El Pais: Pogubljena Srbija, sama sebi dala dva gola",0,0,DA
sportklub_a89023d173,Viktor Vembanjama poručuje – nećete me opet navući,1,1,DA
sportklub_0428764e81,Mijatović: Vučića sam upoznao kad sam došao u Partizan,0,0,DA
sportklub_c6a8c784a4,San ili nova noćna mora: Gladne mlade zveri oko Saše Zvereva,1,1,DA
sportklub_97007bf954,"Ibra i Anri zapevali uglas „I’m from Bosnia, take me to America“",0,0,DA
