"izvor","id","naslov","razlog"
"filip_glavna","sportklub_9ea387d940","Golden najtsi u finalu Zapada, Montreal na korak od finala Istoka","neslaganje: Danilo=0"
"filip_glavna","sportklub_0263639981","Iva furija pričala o egu: Šta, napali su mene, šta pričate?","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_2c25608d08","Ovaj Garos je lud: Igrali su ljudi šest sati!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_d65ee1a349","Kvarachelija najbolji igrač Lige šampiona!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_2f86e8b47e","Pamte li navijači pretnju bojkotom? Žalgiris „blindirao“ Tubelisa","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_2d21035f92","Krunić: Da sam dobio poziv Srbije, nikada ne bih igrao za BiH","neslaganje: Danilo=0"
"filip_glavna","sportklub_c0c437d10a","SK u svlačionici Reala: Ljulj zna put, a šta očekuje Maledon?","neslaganje: Danilo=0"
"filip_glavna","sportklub_49d816eef0","Vreme krunisanja: Spektakularni ili „dosadni“, pitanje je sad!","heuristika"
"filip_glavna","sportklub_6842238315","Nikad se nije desilo u istoriji tenisa, hoće li sad na Garosu?","heuristika"
"filip_glavna","sportklub_35e81b9d6f","El Pais: Pogubljena Srbija, sama sebi dala dva gola","neslaganje: Danilo=0"
"filip_glavna","sportklub_84248bbae8","Mašina: Siner izjednačio Đokovićev rekord!","heuristika"
"filip_glavna","sportklub_41693b144d","„Iznenađen i uvređen“: Megvajer saznao da ne ide na Mundijal!","heuristika"
"filip_glavna","sportklub_40ccf8e641","Nemačka dobila ogromno pojačanje za Mundijal!","heuristika"
"filip_glavna","sportklub_277c7ddcf1","Udar na Kanadu: Striperi u štrajku tokom trke Formule 1!","heuristika"
"filip_glavna","sportklub_fecf133c30","(VIDEO) Čekali su 20 godina: Karolina osvojila Stenli kup!","heuristika"
"filip_glavna","sportklub_62543fcc38","„Kuva“ na tribinama: Baklje, uvrede i studenti pobeđuju!","heuristika"
"filip_glavna","sportklub_af305d2eec","Senzacija: Real ispao, Tenerife protiv Barse za finale","heuristika"
"filip_glavna","sportklub_7bb7cf4609","Rekordna plata, paprena klauzula: Valensija „blindirala“ Tejlora","heuristika"
"filip_glavna","sportklub_7e286f5417","Sašina šetnja kroz lak žreb: Sledi pakao – meč sa Rafom u Parizu!","heuristika"
"filip_glavna","sportklub_b75478d030","Masovna tuča, isključeno 11 igrača! Poznati sudija vadio olovku","heuristika"
"filip_glavna","sportklub_fd606a9877","Andrej Barna kao furija, velika pobeda u Kanu","heuristika"
"filip_glavna","sportklub_6c6c365b28","Suspenzija zakona! Za nerede u Kragujevcu 60 dana zatvora, ali…","heuristika"
"filip_glavna","sportklub_8fb0966e8d","Papanikolau pravio šou: Gde su našli alkohol? Ja ga dugo tažim…","heuristika"
"filip_glavna","sportklub_cb59752b7d","Rafa Nadal izabrao 10 najboljih u istoriji: Novak DA, Federer NE!","heuristika"
"filip_glavna","sportklub_3236b3335d","Crna Gora ceni i poštuje Uroša Stevanovića!","heuristika"
"filip_glavna","sportklub_2d0c06cda6","Rakić saznao rivala na UFC Beograd! Uradiće nešto što nikada nije","heuristika"
"filip_glavna","sportklub_ad27fba26e","Petarda impresivne Švedske, Ajari razbio „svoje“!","heuristika"
"filip_glavna","sportklub_0c65c6206d","„Vanja je ono što treneri traže! Izuzetno moderan golman“","heuristika"
"filip_glavna","sportklub_3137b2781f","Subotica je zaslužila istoriju: Spartak je novi šampion Srbije!","heuristika"
"filip_glavna","sportklub_ea24f5a4d6","Neće ga trofej pa neće! Ronaldo sa Nasrom izgubio finale LŠ","heuristika"
"filip_glavna","sportklub_48e520354a","Od 0-2 do 3-2: Šut „izdao“ Zenit, Tomović osvojio bronzu!","heuristika"
"filip_glavna","sportklub_a5d231a0ff","Mark Markes se vraća!","heuristika"
"filip_glavna","sportklub_73533ede87","Ostaje! Dejan Davidovac produžio saradnju sa Zvezdom","heuristika"
"filip_glavna","sportklub_282fae83a2","Ibra: Navijam za Hrvate! Fudbal se vraća kući","heuristika"
"filip_glavna","sportklub_d89fb1ccf0","Budućnost pregazila Kluž, spremna je za Dubai","heuristika"
"filip_glavna","sportklub_1e7365f5fc","Evropa će se igrati u Pančevu! Doduše, samo na kratko…","heuristika"
"filip_glavna","sportklub_e1750f571d","Kraj! Dušan Vlahović napušta Juventus kao slobodan igrač!","heuristika"
"filip_glavna","sportklub_1efb880383","Karlik: Ne smemo dozvoliti da slave titulu na našem terenu!","heuristika"
"filip_glavna","sportklub_2b17f235aa","Polufinale je daleko, ali je zlata vredno iskustvo tu!","heuristika"
"filip_glavna","sportklub_ffbbbaf6dd","Dosta je bilo! Martin posle šestog pada u bolnici","heuristika"
"filip_glavna","sportklub_8415b97c36","Madaru stigao Obradovićev poziv vredan osam miliona!","heuristika"
"filip_glavna","sportklub_3cd2543d81","Hezonja uz osmeh: Leži mi Valensija? Ma leže mi svi kad me krene!","heuristika"
"filip_glavna","sportklub_a4f6e14bc4","Da li je na pomolu vaterpolo senzacija u Crnoj Gori?","heuristika"
"filip_glavna","sportklub_d1c2e4f0fe","Murinjo tužio Tursku Evropskom sudu za ljudska prava!","heuristika"
"filip_glavna","sportklub_201b1a12fc","Partizan preslišao Zvezdu za finale ABA lige i prekid crnog niza!","heuristika"
"filip_glavna","sportklub_5c68137282","MVP u PAO? “Nikad ne reci nikad, ali… Definitivno, nikad!”","heuristika"
"filip_glavna","sportklub_19ce7eb27d","(VIDEO) Kad drugoligaški kub sazna da ima igrača na Mundijalu!","heuristika"
"filip_glavna","sportklub_dcfdff2481","Milutinov za SK: Kad se duže čeka, sreća je još veća!","heuristika"
"filip_glavna","sportklub_a81fee5b34","Imamo novi rekord u najvećoj brzini u Moto GP šampionatu!","heuristika"
"filip_glavna","sportklub_b705e75fe6","„English, please!“ Jezik zemlje domaćina zabranjen na SP","heuristika"
"filip_glavna","sportklub_fcec103272","Krunić: Zaplačem jednom u 10 godina… Odoh na Selin Dion!","heuristika"
"filip_glavna","sportklub_a273aea574","Jedan meč na Rolan Garosu već je ušao u istoriju","heuristika"
"filip_glavna","sportklub_eda9cce955","Dimitrisu Janakopulosu zabranjen ulazak u halu!","heuristika"
"filip_glavna","sportklub_4ad7978ec7","Rat i u fudbalu: Amerikanci odbili vize čelnicima FS Irana!","heuristika"
"filip_glavna","sportklub_66cfcfe290","„Čekaj da se završe reklame!“ Potez sudije na SP podigao buru","heuristika"
"filip_glavna","sportklub_2bdd67293a","Šou u Badaloni: Grub faul bivšeg igrača Partizana, pa umalo tuča!","heuristika"
"filip_glavna","sportklub_6cca7761cd","Nanter šokirao Monako, može li do senzacije?","heuristika"
"filip_glavna","sportklub_a032132483","MVP Fajnal-fora za SK: Olakšanje! Bilo je zapisano…","heuristika"
"filip_glavna","sportklub_f2fe63fb09","Za 0,005 sekundi: Perone u poslednji čas preoteo pol u Barseloni!","heuristika"
"filip_glavna","sportklub_b091ee4441","SGA: Razumem, ne volite me, i ja bih sebe mrzeo!","heuristika"
"filip_glavna","sportklub_f9d2264981","Šok u Kataloniji: Alesija Puteljas napušta Barselonu","heuristika"
"filip_glavna","sportklub_3033ba450b","Englez pred Mundijal: Tereni su užasni, ugroziće neke karijere!","heuristika"
"filip_glavna","sportklub_5647195caa","Ako zapne u pregovorima, Liverpul spreman da proda Soboslaja!","heuristika"
"filip_glavna","sportklub_64d70f34bb","Epske scene: Bivši Žigićev klub u Primeri posle 14 godina!","heuristika"
"filip_glavna","sportklub_a79946a72d","Posebni se vraća! Pao dogovor Murinja i Reala, a ovo su detalji","heuristika"
"filip_glavna","sportklub_5b5269afc5","Velika nada: Mladi Hrvat u idealnoj petorci ACB lige!","heuristika"
"filip_glavna","sportklub_a7111c578e","Rapsodija domaćina u Los Anđelesu! Amerika ima pravo da sanja","heuristika"
"filip_glavna","sportklub_fefce4a9c6","Nekad sa Savom gazili Real i Barsu, sad ispadoše u treću ligu!","heuristika"
"filip_glavna","sportklub_aa72f3ef5f","Debakl! Nikad lošija Srbija razbijena od Zelenortskih Ostrva","heuristika"
"filip_glavna","sportklub_be06714772","Momak leti: Andrej Stojaković ima odraz 105 cm! (VIDEO)","heuristika"
"filip_glavna","sportklub_7a1325781a","(VIDEO) Montreal posle drame u finalu Istoka","heuristika"
"filip_glavna","sportklub_f0229fc514","I Inijesta postao trener! Nek’ je sa srećom…","heuristika"
"filip_glavna","sportklub_ffd8e40b3a","Markes i Akosta: Najmanja razlika u istoriji MotoGP sprinta!","heuristika"
"filip_glavna","sportklub_1d1a695fd6","Beceki konačno pokorio Muđelo za istoriju Aprilije!","heuristika"
"filip_glavna","sportklub_769cff1cfc","Mitrović pred Zvezdu: Rasterećeni smo i motivisani!","heuristika"
"filip_glavna","sportklub_be1360f064","Ljudi su prvi put videli Holandovog dedu i šokirali se","heuristika"
"filip_glavna","sportklub_c0f5023ed0","Ende, ali bukvalno: Čovek ispao sa dva kluba u istoj sezoni!","heuristika"
"filip_glavna","sportklub_fcb6d887c3","Svet ismeva dva učesnika SP: „I njih ćemo gledati na Mundijalu?!“","heuristika"
"filip_glavna","sportklub_f9dd951c6a","(VIDEO) Vembanjama: Baš boli! Dva su puta odavde…","heuristika"
"filip_glavna","sportklub_0556ef4c38","Ovo se čekalo, okršaj najboljih: Vembi zakazao duel sa Šejem!","heuristika"
"filip_glavna","sportklub_f6b0ad35d2","Dva poteza koja su rešila derbi: Šta napraviše Odželej i Nvora!?","heuristika"
"filip_glavna","sportklub_818bf6aa2f","Šok uoči Mundijala: Amerikanci „guraju“ Kongo u karantin!","heuristika"
"filip_glavna","sportklub_204989d8de","(VIDEO) Dinastija PSŽ vlada Evropom!","heuristika"
"filip_glavna","sportklub_5514ea5ecd","Servis „ispod ruke“ protiv Medvedeva? Tako mlad, a već podmukao!","heuristika"
"filip_glavna","sportklub_857cb8cd55","Usik bio nadomak epske bruke i priredio čudo kod piramida u Gizi!","heuristika"
"filip_glavna","sportklub_7880ccc1a1","Neizdrživo! Norvežani zatečeni uslovima u SAD","heuristika"
"filip_glavna","sportklub_517f1be8b2","Uprkos očajnoj sezoni, Partizan vredi preko 300% više nego letos!","heuristika"
"filip_glavna","sportklub_2277d91a47","(VIDEO) Evropsko prvenstvo: Još tri srpska čamca u A finalu!","heuristika"
"filip_glavna","sportklub_d26fc6858b","Bez finala u Hertogenbošu, titula u rukama 484. na WTA listi!","heuristika"
"filip_glavna","sportklub_30e49acbc2","Ostoja hitno reagovao: Nikome nećemo dozvoliti da urušava ligu!","heuristika"
"filip_glavna","sportklub_50e725e08c","Bravo Hamade! Međedović slomio reket, ali i Hanfmana","heuristika"
"filip_glavna","sportklub_98ba756356","Tomovićev veliki podvig: Lokomotiv srušio CSKA u Moskvi!","heuristika"
"filip_glavna","sportklub_0068e0a110","Samo čudo sprečava finala CSKA vs. Zenit","heuristika"
"filip_glavna","sportklub_34739624bc","Huventud slavio u drami, Džabari Parker se preporodio","heuristika"
"filip_glavna","sportklub_24fa540a26","(VIDEO) Iračani sjajnim golom do velikog remija sa Španijom!","heuristika"
"filip_glavna","sportklub_b491f0e35a","Bornmut zaustavio Siti, Arsenal je šampion posle 22 godine!","heuristika"
"filip_glavna","sportklub_aac7badba8","Džošua neće u penziju: Boriću se do 40! Sledeća stanica – MMA","heuristika"
"filip_glavna","sportklub_c5bec74cdf","Najbolje za kraj! Briljantna Srbija razbila svetskog vicešampiona","heuristika"
"filip_glavna","sportklub_48dd633aab","Pionirkama dosadno u penziji: Kažu – najveća ženska borba ikad!","heuristika"
"filip_glavna","sportklub_6b627097c7","Martin oštro kažnjen, bez izjava posle trke na Balatonu!","heuristika"
"filip_glavna","sportklub_9c9f8eddd2","Radnički ima tri meč lopte za odbranu trona!","heuristika"
"filip_glavna","sportklub_8b3dab1f39","Markes: Ljudi sad sigurno očekuju da pobedim na svakoj trci!","heuristika"
"filip_glavna","sportklub_aa10f54b15","(VIDEO) Samog sebe isključio: Kakve dve gluposti Vase Micića!","heuristika"
"filip_glavna","sportklub_3683867f03","Penjaroja: Žao mi je navijača, iskupićemo se naredne sezone!","heuristika"
"filip_glavna","sportklub_9d6a789f7a","Anćeloti objavio spisak: Nejmar ide na Svetsko prvenstvo!","heuristika"
"filip_glavna","sportklub_8dbea100cf","Istorija u Parizu, imamo najniže rangiranu finalistkinju ikada!","heuristika"
"filip_glavna","sportklub_43aa1562bf","Šej je MVP!","heuristika"
"filip_glavna","sportklub_75e5ffba31","Hrvat u problemu: Ivanišević osumnjičen za utaju 1.200.000 evra!","heuristika"
"filip_glavna","sportklub_41ccf40c64","Luka Bošković ispisao istoriju! Srbija ima novo atletsko čudo!","heuristika"
"filip_glavna","sportklub_7d41eee89d","Uvek lepo u Beogradu: Papanikolau o pesmi „Zvezda – Olimpijakos!“","heuristika"
"filip_glavna","sportklub_936339caf6","I to je moguće: IO FSS odlučivao na sednici bez kvoruma!","heuristika"
"filip_glavna","sportklub_065fcabde5","Kiles je čudo i ne planira da stane!","heuristika"
"filip_glavna","sportklub_5654ad62f7","Grk u Draženovom dresu: Nisam fan Srba i Hrvata, već Jugoslovena!","heuristika"
"filip_glavna","sportklub_a3e42aa91e","Vruće je, čekaju se samo potpisi: Pirgić u Plzenju!","heuristika"
"filip_glavna","sportklub_a955920c68","Istorija u Sen Deniju: Lans prvi put osvojio Kup Francuske","heuristika"
"filip_glavna","sportklub_80ac6d04e5","Gonsales slomio Salača za nastavak niza trijumfa","heuristika"
"filip_glavna","sportklub_28346d19c2","Laslo Đere video četvrtfinale i… stao!","heuristika"
"filip_glavna","sportklub_73300e4407","(VIDEO) Bertans Aleksi: Brate, uopšte nisam sumnjao!","heuristika"
"filip_glavna","sportklub_83e302c200","Utorak na Rolan Garosu: Senzacija za kraj i komentar Saše Ozma","heuristika"
"filip_glavna","sportklub_1213088ad0","(VIDEO) Janakopulos uleteo na teren, sudije zapretile prekidom!","heuristika"
"filip_glavna","sportklub_017f9d2cba","Jonas Vingegor – kralj uspona!","heuristika"
"filip_glavna","sportklub_b5c55cec58","(VIDEO) Šta odbrani, čoveče?! Tijafo zbog ovoga nije spavao","heuristika"
"filip_glavna","sportklub_dd671a1902","Honda ostaje bez legendarnog šefa!","heuristika"
"filip_glavna","sportklub_090956faf4","Bomba iz Novog Sada: Stefan Mitrović od srede u Vojvodini!","heuristika"
"filip_glavna","sportklub_dd7922aac3","Grobare ne zanima titula: Sramno malo ljudi na finalu!","heuristika"
"filip_glavna","sportklub_31c0f7908b","Penjaroja: Nije ovo rutinska pobeda, igrači su ključ, a ne ja!","heuristika"
"filip_glavna","sportklub_4e201a280f","Najstariji Nemac u istoriji: Nojer oborio Mateusov rekord","heuristika"
"filip_glavna","sportklub_e93a85e88f","Još jedan šok na Ostrvu, Tuhel precrtao zvezdu Real Madrida","heuristika"
"filip_glavna","sportklub_85c2d8c820","Lom u Milanu: Smenjeni trener, CEO, tehnički i sportski direktor!","heuristika"
"filip_glavna","sportklub_61556525ce","Istorijske kvalifikacije: Aprilija prvi put „zaključala“ prvi red","heuristika"
"filip_glavna","sportklub_c39d576482","Valensija dominantna u Blaugrani, navijači Barse otišli!","heuristika"
"filip_glavna","sportklub_1d32af682b","Alimpijević u nevolji: Barać razbio selektora bez ključnog igrača","heuristika"
"filip_glavna","sportklub_015f046c4b","„Najvažniji ugovor u istoriji fudbala“: Realu 1.000.000.000 evra!","heuristika"
"filip_glavna","sportklub_a0976110bc","Hamiltonova prva pobeda u Ferariju! Katastrofa za Antonelija!","heuristika"
"filip_glavna","sportklub_020e5399d3","Jokić pomera NBA granice: Srbinu vrtoglavih 70 miliona po sezoni!","heuristika"
"filip_glavna","sportklub_740d50c747","(VIDEO) Senzacija u Oregonu: Pao svetski rekord na 110 m prepone!","heuristika"
"filip_glavna","sportklub_b18a227b84","Italijani kažu: Pavlović će u Premijer ligu! Gigant sprema ponudu","heuristika"
"filip_glavna","sportklub_02440170f5","Adam Silver odbrojao: 3-2-1… Nema više tankovanja!","heuristika"
"filip_glavna","sportklub_2fb9512bdd","Poraz Duplantisa posle tri godine, čudesna Odri Vero","heuristika"
"filip_glavna","sportklub_d2f27d073e","Kenguri su hit, Australija šokirala Tursku!","heuristika"
"filip_glavna","sportklub_a7416b0a83","Maroko ispisao istoriju: Svi igrači na terenu rođeni van matice","heuristika"
"filip_glavna","sportklub_010d5a7cdd","VIDEO Paunović: Krivo mi je! Tukli bi se za spisak da idemo na SP","heuristika"
"filip_glavna","sportklub_7318de8a2e","Karasi: Osramotili su Srbiju, Veljko ne zovi ih više!","heuristika"
"filip_glavna","sportklub_4f4f59e66b","Runi o Salahu: Tužno, sebično – ne bih ga pustio blizu stadiona!","heuristika"
"filip_glavna","sportklub_46e3bbc24a","Dan na Mundijalu: Tramp iznenadio selektora pozivom, poslušajte!","heuristika"
"filip_glavna","sportklub_8ca836379e","Do Lisabona sedam dana… Ko će da igra za Srbiju niko ne zna!","heuristika"
"filip_glavna","sportklub_549509d5f1","Tragičar dana: Miroslav Koubek menjao i pogrešio!","heuristika"
"filip_glavna","sportklub_7575cac508","Preokret Pešićevog Bajerna, Neno blistao za korak ka finalu","heuristika"
"filip_glavna","sportklub_a41b76e271","Definitivno zeleno svetlo za Marka Markesa!","heuristika"
"filip_glavna","sportklub_582a07e300","Budućnost ima recept za Zenicu: Čvrsto, agresivno i hrabro!","heuristika"
"filip_glavna","sportklub_2dc259250d","(VIDEO) Neviđeno: Nikolića dočekalo 20.000 navijača na treningu!","heuristika"
"filip_glavna","sportklub_b7a9f62b2a","Mažićev rez: Finale Kupa Rusije vodi najmlađi sudija u istoriji","heuristika"
"filip_glavna","sportklub_895e7402fd","Istorijski debakl – koga zanima srpska titula","heuristika"
"filip_glavna","sportklub_71d8273d47","Partizan još čeka rivala: Budućnost dobila triler protiv Dubaija!","heuristika"
"filip_glavna","sportklub_cd2fa81e06","Kecmanović o saradnji Troicki-Novak: Šokiran sam – sve je jasno!","heuristika"
"filip_glavna","sportklub_dd73e5553c","Da li je moguće?! Sanitetsko vozilo udarilo i povredilo igrača!","heuristika"
"filip_glavna","sportklub_0b08b081a7","Poruka vlasniku Denvera: „Imaš zilion dolara, plati igrače!“","heuristika"
"filip_glavna","sportklub_181de13d58","Nije uspeo u Hajduku, „uništio“ je Italiju, a sad menja legendu","heuristika"
"filip_glavna","sportklub_f872a0af12","Navijači Arisa priredili spektakularan doček Spanulisu","heuristika"
"filip_glavna","sportklub_58950ec355","Alimpijević preživeo Poceka, za finale protiv Baraća!","heuristika"
"filip_glavna","sportklub_e14ac9f00a","Bojan Dubljević doneo konačnu odluku!","heuristika"
"filip_glavna","sportklub_15aee12621","Crna Gora tuguje: Slovenija ide na planetarnu smotru!","heuristika"
"filip_glavna","sportklub_4fd2c0d339","Bolton se vratio u Čempionšip: Sledeća stanica Premijer liga!","heuristika"
"filip_glavna","sportklub_83d7cb88fa","Olimpijakos razbio šampiona! Uplašeni Fener se izgubio u Atini","heuristika"
"filip_glavna","sportklub_77811359d5","Drama u Beogradu: Svetsko skijanje dobilo lidera, presudio 1 glas","heuristika"
"filip_glavna","sportklub_7ec90a13a9","SK kviz: Koliko poznajete istoriju Svetskih prvenstava u fudbalu?","heuristika"
"filip_glavna","sportklub_f0c0bb0cfa","Radonjiću se ovo nikad nije dogodilo! Zenit ispao iz plej-ofa","heuristika"
"filip_glavna","sportklub_201ee8293d","Barkli: San Antonio je najgluplja ekipa u istoriji civilizacije!","heuristika"
"filip_glavna","sportklub_4fea14da4e","Roaje: Žalio se, istezao… Tipični Novak!","heuristika"
"filip_glavna","sportklub_58c5013ae3","Vojvodina oštra: Povređeni igrač i sudija, a titula Partizanu!?","heuristika"
"filip_glavna","sportklub_98523bf38b","„Novak nije imao snage ni da se smori! Šta reći? Sklonila sam se“","heuristika"
"filip_glavna","sportklub_e7bfb6b930","Istorijska odluka sudije: BiH osetila novo pravilo na svojoj koži","heuristika"
"filip_glavna","sportklub_94321a26ae","Speed: Portugal osvaja Mundijal; Zlatan i Anri: Ma, beži tamo!","heuristika"
"filip_glavna","sportklub_f4781e0f48","De La Fuente saopštio spisak, Španija bez igrača Real Madrida!","heuristika"
"filip_glavna","sportklub_68c48ee44d","FIFA presekla – nema više vuvuzela! Ali, to nije sve…","heuristika"
"filip_glavna","sportklub_c64233165b","TV skandal: „Sudija, sačekaj, nisu se završile reklame?!“","heuristika"
"filip_glavna","sportklub_9c893cf60f","Lundberg i uplašeni saigrači ne žele na teren! „Nismo roboti…“","heuristika"
"filip_glavna","sportklub_cd45ddd254","Savo Milošević podneo ostavku! „Postalo je besmisleno…“","heuristika"
"filip_glavna","sportklub_f33446c493","(VIDEO) Bilo je suđeno: Ronaldo u suzama slavi titulu sa Nasrom!","heuristika"
"filip_glavna","sportklub_bb6be18a80","Za nevericu: Saragosa izborila opstanak trojkom uz zvuk sirene!","heuristika"
"filip_glavna","sportklub_f4df471083","Brazilci srećni, ali i šokirani: Kako njega nema na spisku","heuristika"
"filip_glavna","sportklub_7cc45eb389","(VIDEO) Momenat kada je i Šarasu bilo jasno: Zbogom, titulo!","heuristika"
"filip_glavna","sportklub_adddede1e1","Mladi as odbio poziv za Svetsko prvenstvo; Selektor: Šokiran sam","heuristika"
"filip_glavna","sportklub_5fa574a742","OAKA uspešno dezinfikovana: Panatinaikos je ponovo gazda u Atini!","heuristika"
"filip_glavna","sportklub_360cbd883c","Nekada je mrzeo medije: Ubijali ste tog čoveka! Reala mi nije žao","heuristika"
"filip_glavna","sportklub_985fbf0099","Ozmo: Fonseka kao nekad Vavrinka, ni Novak nije mogao da veruje!","heuristika"
"filip_glavna","sportklub_c59d32265f","(VIDEO) Brazilski sudija postao hit SP, završio u crtanom filmu!","heuristika"
"filip_glavna","sportklub_232ab22bd3","Turci kažu – gotovo je! Salah ima 39.000.000 razloga da dođe","heuristika"
"filip_glavna","sportklub_943f3cfe3e","„Ne pamtim kad je bila lošija!“ Još jedna šokantna eliminacija","heuristika"
"filip_glavna","sportklub_f7e348ef75","Ludnica u Sarajevu: Bosna posle trilera do titule!","heuristika"
"filip_glavna","sportklub_73064a2d5c","Lukavi dečak ispustio meč loptu: Medvedev preživeo 785. na svetu!","heuristika"
"filip_glavna","sportklub_e106feec2d","Kako srušiti najskuplji tim Evrolige? Evo, ovako – bez tajm-auta!","heuristika"
"filip_glavna","sportklub_00ffbf2d52","Za istoriju Evrokupova: Neobičan podvig Džejdona Sanča","heuristika"
"filip_glavna","sportklub_1511beea95","Veliko iznenađenje na spisku učesnika EK! Licence za ABA timove","heuristika"
"filip_glavna","sportklub_b73ad9a597","Tijafo molio da mu vrate reket… Drži ga u ruci, brate!","heuristika"
"filip_glavna","sportklub_5c2dc570a8","Barselona preti tužbom: „Perez da povuče reč!“","heuristika"
"filip_glavna","sportklub_642d6014fa","(VIDEO) Rasprodaja ugleda: Meksikanci „pregazili“ Srbiju","heuristika"
"filip_glavna","sportklub_00f25afe53","Krunić: Još samo ovo Srbiji nedostaje – da krunišemo!","heuristika"
"filip_glavna","sportklub_9ba18ed6a8","Niko nije dao više poena: Srpkinja ispisala istoriju WNBA","heuristika"
"filip_glavna","sportklub_5bea2838d7","(VIDEO) Ronaldo: U dobroj sam formi, zar ne gledate utakmice?!","heuristika"
"filip_glavna","sportklub_6207f030f8","(VIDEO) Skandal na RG: Saplela se na reklamu i morala da preda!","heuristika"
"filip_glavna","sportklub_1bf3bb28a5","Nema ko da igra! Mlada reprezentacija Srbije bez utakmica u junu","heuristika"
"filip_glavna","sportklub_c19d43bc70","(VIDEO) Bruka u Kraljevu: Utakmica pionira pod istragom!","heuristika"
"filip_glavna","sportklub_6a4d92672c","Vlahović traži 30% više novca, Juventus neće da popusti!","heuristika"
"filip_glavna","sportklub_cfe2ba38b6","Kanada razbila Ameriku, istorijski uspeh Norveške","heuristika"
"filip_glavna","sportklub_b59f9ac35c","„Volim Partizan, ali ne vraćam se dok je ovakvo stanje u Srbiji!“","heuristika"
"filip_glavna","sportklub_3c2aed0e2c","Šok do šoka: Totenhemu samo bod, a mogao i da izgubi","heuristika"
